LanguageId,LanguageName,Latitude,Longitude,WordId,WordModernName1,WordModernName2,WordProtoName1,WordProtoName2,Phonetic,SpellingAltv1,SpellingAltv2,NotCognateWithMainWordInThisFamily
11241330109,Stavanger,58.96442,5.72626,10,one,,ainaz,,æˑi̞ˑn,én,,0
11241330109,Stavanger,58.96442,5.72626,20,two,,twou,,tʰu̞ː,to,,0
11241330109,Stavanger,58.96442,5.72626,30,three,,threjez,,tχiː,tre,,0
11241330109,Stavanger,58.96442,5.72626,40,four,,fedworez,,ˈfiːʁə,fire,,0
11241330109,Stavanger,58.96442,5.72626,50,five,,fenfe,,fɛm,fem,,0
11241330109,Stavanger,58.96442,5.72626,60,six,,sexs,,sɛk̟s,seks,,0
11241330109,Stavanger,58.96442,5.72626,70,seven,,sebun,,syːf,sju,,0
11241330109,Stavanger,58.96442,5.72626,80,eight,,axtou,,ˈɔʰttə,åtte,,0
11241330109,Stavanger,58.96442,5.72626,90,nine,,newun,,niː,ni,,0
11241330109,Stavanger,58.96442,5.72626,100,ten,,texun,,tʰiː,ti,,0
11241330109,Stavanger,58.96442,5.72626,200,hundred,,xundaradan,,ˈhʊnˑdʁə,hundre,,0
11241330109,Stavanger,58.96442,5.72626,7820,all,,allaz,,äl,all,,0
11241330109,Stavanger,58.96442,5.72626,7020,white,,xwitaz,,kʰviːt,hvit,,0
11241330109,Stavanger,58.96442,5.72626,7030,red,,raudaz,,ʁø̞ː,rød,,0
11241330109,Stavanger,58.96442,5.72626,7040,green,,groniz,,ɡʁœn,grøn,,0
11241330109,Stavanger,58.96442,5.72626,7210,long,,langaz,,läŋ̟ˑ,lang,,0
11241330109,Stavanger,58.96442,5.72626,7410,sharp,,skarpaz,,skäχˑp,skarp,,0
11241330109,Stavanger,58.96442,5.72626,7840,full,,fullaz,,fʊl,full,,0
11241330109,Stavanger,58.96442,5.72626,7510,young,,jungaz,,ʊŋ̟,ung,,0
11241330109,Stavanger,58.96442,5.72626,7980,new,,neujaz,,nyː,ny,,0
11241330109,Stavanger,58.96442,5.72626,7670,naked,,nakwadaz,,ˈnɑ̟ːkɪn,naken,,0
11241330109,Stavanger,58.96442,5.72626,7660,fast,,fastaz,,fässt,fast,,0
11241330109,Stavanger,58.96442,5.72626,7710,good,,godaz,,ɡoː,god,,0
11241330109,Stavanger,58.96442,5.72626,7910,warm,,warmaz,,väˑʁ̞m̩,varm,,0
11241330109,Stavanger,58.96442,5.72626,7920,cold,,kaldaz,,kʰälˑt,kald,,0
11241330109,Stavanger,58.96442,5.72626,7560,sore,,sairaz,,sɔ̝ːχ,sår,,0
11241330109,Stavanger,58.96442,5.72626,7680,holy,,xailagaz,,ˈhɛlli,hellig,,0
11241330109,Stavanger,58.96442,5.72626,7700,better,,batizon,,ˈbeˑəʁ̞ə,bedre,,0
11241330109,Stavanger,58.96442,5.72626,810,right,,rextaz,,ʁɛʰtt,rett,,0
11241330109,Stavanger,58.96442,5.72626,2010,head,,xaubadan,,ˈhoːdə,hode,,0
11241330109,Stavanger,58.96442,5.72626,2110,eye,,augon,,ˈø̞ɪjə,øye,,0
11241330109,Stavanger,58.96442,5.72626,2130,ear,,auzon,,ˈø̞ːʁə,øre,,0
11241330109,Stavanger,58.96442,5.72626,2210,mouth,,munthaz,,mʊnˑ,munn,,0
11241330109,Stavanger,58.96442,5.72626,2230,tongue,,tungon,,ˈtʰʊŋə,tunge,,0
11241330109,Stavanger,58.96442,5.72626,2240,tooth,,tanthz,,tʰänˑ,tann,,0
11241330109,Stavanger,58.96442,5.72626,2310,hand,,xanduz,,hɔnˑ,hånd,,0
11241330109,Stavanger,58.96442,5.72626,2510,foot,,fotz,,fu̞ːt,fot,,0
11241330109,Stavanger,58.96442,5.72626,2530,knee,,knewan,,kʰne̞ˑə,kne,,0
11241330109,Stavanger,58.96442,5.72626,2540,toe,,taixwon,,tʰɔː,tå,,0
11241330109,Stavanger,58.96442,5.72626,2610,blood,,blodan,,blo̝ː,blod,,0
11241330109,Stavanger,58.96442,5.72626,2620,bone,,bainan,,bɛˑiˑn,bein,,0
11241330109,Stavanger,58.96442,5.72626,2640,nail,,naglaz,,ˈnɛkˑɪl,negl,,0
11241330109,Stavanger,58.96442,5.72626,2810,heart,,xerton,,ˈjɛχːtə,hjerte,,0
11241330109,Stavanger,58.96442,5.72626,2840,liver,,libaro,,ˈlɛ̝ːvə,lever,,0
11241330109,Stavanger,58.96442,5.72626,4310,mother,,moder,,mo̝ːχ,mor,,0
11241330109,Stavanger,58.96442,5.72626,4320,father,,fader,,fɑ̈ːχ,far,,0
11241330109,Stavanger,58.96442,5.72626,4410,daughter,,duxter,,ˈdäʰtə̠ʁ,datter,,0
11241330109,Stavanger,58.96442,5.72626,4330,brother,,brother,,bʁoːχ,bror,,0
11241330109,Stavanger,58.96442,5.72626,4100,name,,namon,,ˈnävn̩,navn,,0
11241330109,Stavanger,58.96442,5.72626,4110,word,,wurdan,,oːχ,ord,,0
11241330109,Stavanger,58.96442,5.72626,3120,hound,,xundaz,,hʊnn,hund,,0
11241330109,Stavanger,58.96442,5.72626,3150,mouse,,musz,,mʏyˑs,mus,,0
11241330109,Stavanger,58.96442,5.72626,3230,goose,,gansz,,ɡɔːs,gås,,0
11241330109,Stavanger,58.96442,5.72626,3310,cow,,kowz,,k̟ʰÿː,ku,,0
11241330109,Stavanger,58.96442,5.72626,3320,lamb,,lambaz,,läm,lam,,0
11241330109,Stavanger,58.96442,5.72626,3340,calf,,kalbaz,,kʰälf,kalv,,0
