LanguageId,LanguageName,Latitude,Longitude,WordId,WordModernName1,WordModernName2,WordProtoName1,WordProtoName2,Phonetic,SpellingAltv1,SpellingAltv2,NotCognateWithMainWordInThisFamily
11261250008,Danish,55.68,12.57,10,one,,ainaz,,ʔiˑʔn,en,,0
11261250008,Danish,55.68,12.57,20,two,,twou,,tsʊʔ,to,,0
11261250008,Danish,55.68,12.57,30,three,,threjez,,tχɛ̝ɪʔ,tre,,0
11261250008,Danish,55.68,12.57,40,four,,fedworez,,fiˑə,fire,,0
11261250008,Danish,55.68,12.57,50,five,,fenfe,,fɪmʔ,fem,,0
11261250008,Danish,55.68,12.57,60,six,,sexs,,sɪks,seks,,0
11261250008,Danish,55.68,12.57,70,seven,,sebun,,sjʉʔ,syv,,0
11261250008,Danish,55.68,12.57,80,eight,,axtou,,ˈʔoːdə,otte,,0
11261250008,Danish,55.68,12.57,90,nine,,newun,,niʔ,ni,,0
11261250008,Danish,55.68,12.57,100,ten,,texun,,tsiʔ,ti,,0
11261250008,Danish,55.68,12.57,200,hundred,,xundaradan,,hʊnˈʁ̞œː,hundrede,,0
11261250008,Danish,55.68,12.57,7820,all,,allaz,,ʔɛ̝lʔ,al,,0
11261250008,Danish,55.68,12.57,7020,white,,xwitaz,,vɪlʔ,hvid,,0
11261250008,Danish,55.68,12.57,7030,red,,raudaz,,ʁə̹lʔ,rød,,0
11261250008,Danish,55.68,12.57,7040,green,,groniz,,ɡʁɔ̈ʏʔn,grøn,,0
11261250008,Danish,55.68,12.57,7210,long,,langaz,,läʔŋ,lang,,0
11261250008,Danish,55.68,12.57,7410,sharp,,skarpaz,,skäˑpʰ,skarp,,0
11261250008,Danish,55.68,12.57,7840,full,,fullaz,,fu̞lʔ,fuld,,0
11261250008,Danish,55.68,12.57,7510,young,,jungaz,,ʔʊʔŋ,ung,,0
11261250008,Danish,55.68,12.57,7980,new,,neujaz,,nÿʔ,ny,,0
11261250008,Danish,55.68,12.57,7670,naked,,nakwadaz,,nɔˑɪn,nøgen,,0
11261250008,Danish,55.68,12.57,7660,fast,,fastaz,,fɛ̝stʰ,fast,,0
11261250008,Danish,55.68,12.57,7710,good,,godaz,,ɡʊəl̪ʔ,god,,0
11261250008,Danish,55.68,12.57,7910,warm,,warmaz,,väʔm,varm,,0
11261250008,Danish,55.68,12.57,7920,cold,,kaldaz,,kʰɔ̞ʔl,kold,,0
11261250008,Danish,55.68,12.57,7560,sore,,sairaz,,sɔʔ,sår,,0
11261250008,Danish,55.68,12.57,7680,holy,,xailagaz,,ˈhɛ̝li,hellig,,0
11261250008,Danish,55.68,12.57,7700,better,,batizon,,ˈbɪð̞əʁʌ̈,bedre,,0
11261250008,Danish,55.68,12.57,810,right,,rextaz,,ʁ̞ätʰ,ret,,0
11261250008,Danish,55.68,12.57,2010,head,,xaubadan,,hu̞ˑɪl,hoved,,0
11261250008,Danish,55.68,12.57,2110,eye,,augon,,ʔɔˑɪ,øje,,0
11261250008,Danish,55.68,12.57,2130,ear,,auzon,,ʔyˑɔ̞̈,øre,,0
11261250008,Danish,55.68,12.57,2210,mouth,,munthaz,,mʊnʔ,mund,,0
11261250008,Danish,55.68,12.57,2230,tongue,,tungon,,tʰʊŋə̟,tunge,,0
11261250008,Danish,55.68,12.57,2240,tooth,,tanthz,,tʰɛʔn,tand,,0
11261250008,Danish,55.68,12.57,2310,hand,,xanduz,,hʊ̞ʔn,hånd,,0
11261250008,Danish,55.68,12.57,2510,foot,,fotz,,fʊlʔ,fod,,0
11261250008,Danish,55.68,12.57,2530,knee,,knewan,,k̟ʰniʔ,knæ,,0
11261250008,Danish,55.68,12.57,2540,toe,,taixwon,,tsuʔ,tå,,0
11261250008,Danish,55.68,12.57,2610,blood,,blodan,,blʊ̟ʔð̞,blod,,0
11261250008,Danish,55.68,12.57,2620,bone,,bainan,,biʔn,ben,,0
11261250008,Danish,55.68,12.57,2640,nail,,naglaz,,näɪʔl,negl,,0
11261250008,Danish,55.68,12.57,2810,heart,,xerton,,ˈjɛ̝ˑədə,hjerte,,0
11261250008,Danish,55.68,12.57,2840,liver,,libaro,,ˈlɪw̰ɔ̈,lever,,0
11261250008,Danish,55.68,12.57,4310,mother,,moder,,ˈmu̞ˑð̞ɔ̈,moder,,0
11261250008,Danish,55.68,12.57,4320,father,,fader,,ˈfɛð̞ɔ̈,fader,,0
11261250008,Danish,55.68,12.57,4410,daughter,,duxter,,ˈdɛ̝ɾʌ̈,datter,,0
11261250008,Danish,55.68,12.57,4330,brother,,brother,,ˈbʁu̞ˑð̞ɔ̈,broder,,0
11261250008,Danish,55.68,12.57,4100,name,,namon,,na̠ʊʔn,navn,,0
11261250008,Danish,55.68,12.57,4110,word,,wurdan,,ʔo̞ɔ̈ʔ,ord,,0
11261250008,Danish,55.68,12.57,3120,hound,,xundaz,,hunʔ,hund,,0
11261250008,Danish,55.68,12.57,3150,mouse,,musz,,muˑʔs,mus,,0
11261250008,Danish,55.68,12.57,3230,goose,,gansz,,ɡʊʔs,gås,,0
11261250008,Danish,55.68,12.57,3310,cow,,kowz,,kʰu̞ʔ,ko,,0
11261250008,Danish,55.68,12.57,3320,lamb,,lambaz,,läʔm,lam,,0
11261250008,Danish,55.68,12.57,3340,calf,,kalbaz,,kʰɛ̝lʔf,kalv,,0
11261250008,Danish,55.68,12.57,3240,fish,,fiskaz,,fɪsk̟,fisk,,0
11261250008,Danish,55.68,12.57,3820,horn,,xurnan,,ʍoən̰,horn,,0
