Place,x,yAchterhoek,0.006395127359592711,-0.0014230775339888397
Antwerp,0.020325862099939473,-0.010932102854472306
Biel,-0.010475619508226692,-0.012141577911909356
Cologne,-0.009316575726715138,0.006468896765141524
Dutch_Std_BE,0.024666520024311252,-0.009418306593073484
Dutch_Std_NL,0.0162597514557994,-0.0011449088967975672
Feer,8.396687219576395e-05,0.02880713150315032
Graubuenden,-0.011319918873732996,-0.01060847212738071
Grou,0.015601898163724946,0.021125461421618166
Hard,-0.01587304934127942,-0.007315710600785836
Heligoland,-0.005707418322064745,0.04671695130159313
Herrlisheim,-0.017613275019496163,-0.006607956144565989
Limburg,-0.0037622979635965124,-0.005027439111212757
Luxembourg,-0.005867673595042739,0.00851738014959195
Ortisei,-0.02348126700236769,-0.008619231772607759
Ostend,0.0229723930003505,-0.015929099545073048
Tuebingen,-0.014111842850729592,-0.002847749747782319
Veenkolonien,0.015013046761745993,-0.0025010429080487887
Walser,-0.010688690771587957,-0.010962181501245656
Westerkwartier,0.007127594880236056,0.013413619957372896
