Place,x,yAchterhoek,0.006437705949310763,-0.004668732166096316
Antwerp,0.04306748775797639,-0.01610613647355893
Biel,-0.017229255891622924,-0.008475560620954137
Cologne,-0.02273604543283701,-0.0037187990568971568
Dutch_Std_BE,0.06059718919295343,0.013339788387240717
Dutch_Std_NL,0.024232738511240148,0.028450335531520658
Feer,-0.009652825100833828,0.006245420840987767
Graubuenden,-0.025808544498941294,0.004918070007144578
Grou,0.013149215502150119,0.0027438458667982924
Hard,-0.026506623407116396,0.009585171878699707
Herrlisheim,-0.03908529430927776,-0.010425444220609344
Limburg,-0.006096991736443808,-0.008740359512873223
Luxembourg,-0.021149917645165637,-0.00551715322926268
Ortisei,-0.043941609311450636,0.006893063813155732
Ostend,0.041786241855765904,-0.09686814355889793
Tuebingen,-0.030982450534387713,-0.011186331222095006
Veenkolonien,0.03909872469258491,0.0191822046764429
Walser,-0.014334441006749587,0.007646323169904379
Westerkwartier,0.03226511931280632,0.08771276871638502
